City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Situation
258,Sarapulka,56.8678,61.0552,31.93,74,98,4.5,RU,overcast clouds
259,Pecanha,-18.5486,-42.5569,70.66,47,41,4.52,BR,scattered clouds
260,Bredene,51.2334,2.9804,60.44,85,0,5.75,BE,clear sky
261,Ikom,5.9667,8.7063,73.18,98,100,1.63,NG,overcast clouds
262,Diamantino,-14.4086,-56.4461,73.18,90,85,7.05,BR,overcast clouds
263,Kalmar,56.6616,16.3616,51.96,93,23,8.05,SE,few clouds
264,Kantemirovka,49.7089,39.8592,48.83,95,100,17.63,RU,moderate rain
265,Namibe,-15.1961,12.1522,71.6,85,77,4.41,AO,light rain
266,Bakchar,57.0186,82.0711,24.4,96,100,3.33,RU,overcast clouds
267,Lebu,-37.6167,-73.65,50.11,65,73,20.92,CL,broken clouds
268,Tignere,7.3667,12.65,65.86,62,73,1.7,CM,broken clouds
269,Coquimbo,-29.9533,-71.3436,56.93,94,75,8.05,CL,broken clouds
270,Andenes,69.3143,16.1194,37.38,70,75,27.63,NO,light rain
271,Remetea Mare,45.7794,21.3761,48.31,100,100,3.44,RO,fog
272,Thunder Bay,48.4001,-89.3168,48.18,81,75,6.91,CA,broken clouds
273,Aqtobe,50.2797,57.2072,30.29,80,0,0.0,KZ,clear sky
274,Tanout,14.9709,8.8879,75.58,16,1,13.8,NE,clear sky
275,Fonte Boa,-2.4959,-66.2662,74.86,94,100,2.73,BR,overcast clouds
276,Maracaibo,10.6317,-71.6406,78.21,81,92,7.81,VE,overcast clouds
277,Saint-Leu,-21.15,55.2833,70.63,74,46,2.44,RE,scattered clouds
278,Surt,31.2089,16.5887,69.44,66,0,1.21,LY,clear sky
279,Ostersund,63.1792,14.6357,39.65,93,100,20.71,SE,overcast clouds
280,Walvis Bay,-22.9575,14.5053,59.09,94,65,3.44,NA,broken clouds
281,Konya,38.1667,32.5,42.28,57,0,3.04,TR,clear sky
282,Tazovskiy,67.4667,78.7,14.22,91,59,8.23,RU,broken clouds
283,Los Llanos De Aridane,28.6585,-17.9182,69.12,56,40,6.91,ES,scattered clouds
284,Viedma,-40.8135,-62.9967,46.26,81,100,11.03,AR,overcast clouds
285,Sambava,-14.2667,50.1667,71.44,82,37,5.57,MG,scattered clouds
286,Aquidauana,-20.4711,-55.7872,80.78,63,73,4.72,BR,broken clouds
287,Bocana De Paiwas,12.7857,-85.1227,75.02,84,100,2.3,NI,overcast clouds
288,Pietarsaari,63.65,22.6833,41.13,51,10,27.07,FI,clear sky
289,Sarai,53.7458,41.0213,49.14,98,100,13.71,RU,light rain
290,Muisne,0.6,-80.0333,74.57,79,73,6.35,EC,broken clouds
291,Amboasary,-25.0333,46.3833,69.69,89,96,15.99,MG,light rain
292,Macae,-22.3708,-41.7869,78.55,89,40,5.75,BR,scattered clouds
293,Barraute,48.4335,-77.6328,50.27,71,89,9.75,CA,overcast clouds
294,Nytva,57.9404,55.334,33.69,97,100,8.63,RU,overcast clouds
295,Aksu,41.1231,80.2644,47.79,36,41,5.1,CN,scattered clouds
296,Hilton Head Island,32.2163,-80.7526,64.98,89,100,16.11,US,overcast clouds
297,Hofn,64.2539,-15.2082,41.09,74,66,10.42,IS,broken clouds
298,Ostrovnoy,68.0531,39.5131,40.82,94,100,14.54,RU,light rain
299,Nantucket,41.2835,-70.0995,54.14,86,0,5.75,US,clear sky
300,Berbera,10.4396,45.0143,79.02,65,7,3.6,SO,clear sky
301,Camacha,33.0833,-16.3333,67.42,88,20,5.75,PT,few clouds
302,Saryagash,41.4511,69.1701,55.36,78,100,4.61,KZ,light rain
303,Elizabeth City,36.2946,-76.2511,59.02,81,75,11.5,US,broken clouds
304,Turkistan,43.0,68.0,52.18,89,100,10.63,KZ,moderate rain
305,Kjollefjord,70.9457,27.3465,33.62,69,75,19.57,NO,light snow
306,Nedjo,9.5046,35.5019,55.36,87,79,0.76,ET,broken clouds
307,San Antonio,29.4241,-98.4936,71.53,50,20,10.36,US,few clouds
308,Pisco,-13.7,-76.2167,62.65,82,20,6.91,PE,few clouds
309,Kytmanovo,53.4593,85.4479,24.51,72,31,5.3,RU,scattered clouds
310,Lindome,57.5667,12.0833,54.23,90,100,7.0,SE,overcast clouds
311,Adre,13.4667,22.2,77.23,24,81,16.93,TD,broken clouds
312,Qasigiannguit,68.8193,-51.1922,30.45,77,99,8.43,GL,overcast clouds
313,Goderich,43.7501,-81.7165,48.9,70,3,0.0,CA,clear sky
314,Barra Do Garcas,-15.89,-52.2567,74.44,79,98,2.15,BR,overcast clouds
315,Dalvik,65.9702,-18.5286,28.33,70,66,8.28,IS,broken clouds
316,Aden,12.7794,45.0367,80.46,59,13,9.66,YE,few clouds
317,Hun,29.1268,15.9477,64.02,52,50,4.5,LY,scattered clouds
318,Medina,24.4686,39.6142,82.83,32,0,4.61,SA,clear sky
319,Bengkulu,-3.8004,102.2655,75.79,91,100,3.98,ID,overcast clouds
320,Mitsamiouli,-11.3847,43.2844,75.83,80,2,9.37,KM,clear sky
321,Puerto Ayora,-0.7393,-90.3518,66.54,93,95,3.0,EC,overcast clouds
322,Porto Novo,6.4965,2.6036,82.22,87,56,3.76,BJ,broken clouds
323,Puerto El Triunfo,13.2833,-88.55,90.52,79,99,3.13,SV,overcast clouds
324,Praia,14.9215,-23.5087,79.34,57,0,6.91,CV,clear sky
325,Pozo Colorado,-23.4923,-58.7972,81.25,73,76,7.63,PY,broken clouds
326,Sainte-Anne-Des-Monts,49.124,-66.4924,44.47,76,67,15.88,CA,broken clouds
327,Fereydun Kenar,36.6864,52.5225,62.38,81,94,9.57,IR,overcast clouds
328,Krutikha,53.9599,81.2093,24.19,70,78,5.08,RU,broken clouds
329,Grindavik,63.8424,-22.4338,41.47,87,75,11.5,IS,broken clouds
330,Rabo De Peixe,37.8,-25.5833,63.91,95,20,11.5,PT,few clouds
331,Mezen,65.8522,44.24,41.43,91,100,16.42,RU,overcast clouds
332,Naryan-Mar,67.6713,53.087,35.13,98,100,20.76,RU,overcast clouds
333,Chincha Alta,-13.4099,-76.1323,61.39,79,99,0.18,PE,overcast clouds
334,Sur,22.5667,59.5289,74.79,76,0,9.17,OM,clear sky
335,Abu Kamal,34.4506,40.9171,69.46,32,3,6.82,SY,clear sky
336,Kudahuvadhoo,2.6708,72.8944,80.26,76,36,9.4,MV,scattered clouds
337,Dzaoudzi,-12.7887,45.2699,76.89,78,0,2.3,YT,clear sky
338,Mhlambanyatsi,-26.45,31.0167,52.27,87,11,3.58,SZ,few clouds
339,Ahar,38.4774,47.0699,44.98,87,96,2.1,IR,overcast clouds
340,Filadelfia,39.9523,-75.1638,53.49,61,0,4.61,US,clear sky
341,Birao,10.2849,22.7882,74.95,41,87,2.66,CF,overcast clouds
